id,name
3363,Nigel Bruce
13855,Al Ernest Garcia
147962,Merna Kennedy
21306,Albert Austin
21303,Eric Campbell
68703,Tamiyo Kusakari
578708,Luigi Bonino
1007754,Roland Petit
176543,Ken Murray
1488806,Armin Hoffman
2011,Ben Alexander
290,Christopher Plummer
14674,George Cukor
11487,Margaret Mitchell
11916,Liv Ullmann
3854,Lena Nyman
4110,Humphrey Bogart
4112,Paul Henreid
2417497,Nils Gustaf Holmquist
6588,Isabella Rossellini
32,Robin Wright
33,Gary Sinise
52,David Morse
5149,Bonnie Hunt
3197,Tom Sizemore
35219,Corey Burton
7879,John Lasseter
24,Robert Zemeckis
28,Wendy Finerman
27116,Kevin Conway
707,Dan Aykroyd
26485,Jim Belushi
54812,Chevy Chase
107602,Jeff Beck
1162360,Simon Wiesenthal
55085,Amber Heard
2127,James Wan
2682390,Gerd Ludwig
94059,John Ewart
102603,John Howard
76788,Dev Patel
108916,Rooney Mara
1371,David Wenham
31212,Scott MacQueen
78848,Susanna Foster
99599,Carla Laemmle
72754,Elissa Knight
60074,Jeff Garlin
1245537,Sam Fontana
4027,Frank Darabont
67367,Rian Johnson
557528,Margie O'Malley
1213783,Rick Berman
21722,John Billingsley
20,Elizabeth Perkins
17486,Alison Pill
2155,Thora Birch
151385,Bobby Edner
2372,Ron Perlman
55725,Randy Travis
1736908,Prince Harry
1855591,Prince William
82702,Michael Jackson
18793,Kieran Culkin
11510,Macaulay Culkin
37759,Kathy Burke
20056,Keith Allen
2330903,Amir Amor
1250,Alexander Armstrong
10730,Rowan Atkinson
24265,Bill Bailey
120931,Tamsin Greig
1164486,Prince Philip
121003,Nigel Patrick
1234063,Bobby Charlton
582438,Franz Beckenbauer
10132,Colm Feore
30609,Polly Shannon
237,Aidan Devine
82315,Jean Harlow
11492,Clark Gable
1916574,Caitlin Doughty
71531,Deepak Chopra
1383964,Thích Nhất Hạnh
1867979,Sister Chân Không
52087,Carol Alt
6678,Michael Ontkean
12950,George Kennedy
10412,Anne Jackson
1933,George Peppard
6250,Romy Schneider
14812,Jeanne Moreau
10699,Samantha Bond
44384,Bernd Michael Lade
3712,Saul Rubinek
35028,Zoe Kazan
78729,Nathan Lane
17628,Mary Elizabeth Winstead
1050292,Ruth Gruber
1050293,Louisa Herz Leopold
1050294,Dava Sobel
5821,Eugenio Alabiso
4670,Nino Baragli
44797,Timothy Van Patten
1434484,Shô Kosugi
99846,Sho Kosugi
11163,John Saxon
83259,Florinda Bolkan
585373,Gianni Santuccio
11190,Renzo Montagnani
1334578,Licia Pinelli
24399,Yves Beneyton
24478,Raymond Pellegrin
36925,Mathieu Carrière
20212,Dermot Mulroney
76546,Ricky Schroder
95468,Kelli Williams
1932312,Maureen McCarthy
1932313,Cecil Moe
23920,Chad McQueen
6844,Dom DeLuise
68559,Gary Daniels
188707,Christopher Stapleton
59554,Jesse Bernstein
1591097,Bryan Clark
1591098,Savannah Goldsmith
17397,Callie Khouri
17398,Mimi Polk Gitlin
578,Ridley Scott
