source,target
113,45230
113,56444
113,8223
113,41234
113,142858
113,7505
113,26557
113,1084308
113,510
113,10222
113,4955
113,55949
113,30137
113,1116483
113,1888957
113,131814
113,25666
113,222054
113,1483204
113,1483206
113,30140
113,31308
113,30810
113,8724
113,30296
113,29903
113,11181
113,20143
113,12250
113,97243
113,1367
113,109
113,1328
113,173431
113,29094
113,6
113,130
113,17244
55949,30137
73641,1202593
73641,33684
73641,73640
73641,73642
1202593,33684
33684,82426
33684,82427
33684,82428
33684,181452
33684,84678
33684,1316826
33684,45052
33684,138986
33684,92911
33684,72538
33684,96635
33684,1744249
33684,1101349
33684,1569717
33684,18015
33684,22410
33684,22411
33684,57446
33684,215486
33684,1161962
33684,72208
33684,3284
33684,18746
33684,108661
33684,214830
33684,1070445
138986,53397
138986,7904
138986,7447
138986,85564
138986,92911
138986,237405
138986,72861
138986,941022
138986,1032
138986,4299
138986,40174
138986,109897
138986,81487
138986,56367
138986,937034
53397,7904
53397,54421
53397,12111
53397,71860
53397,1596154
53397,1340706
53397,155488
53397,964397
53397,21986
53397,72208
53397,3284
53397,18746
53397,37934
53397,15310
53397,12207
53397,56323
53397,56322
53397,41091
7904,2157
7904,90654
7904,19011
7904,1189929
7904,82388
7904,1243
7904,11074
7904,40009
7904,1062
7904,707
7904,26485
7904,54812
7447,15903
7447,85564
7447,9560
7447,24594
7447,131814
7447,1220781
7447,115002
7447,10594
7447,58198
7447,1409651
7447,1409652
7447,18918
7447,40462
7447,1136406
7447,514
7447,6193
7447,1892
7447,56323
7447,56322
7447,41091
85564,76689
85564,1120207
85564,62053
85564,117092
85564,982
85564,1338524
85564,1192274
85564,91351
85564,1932529
85564,11370
85564,2605892
85564,1060422
4038,18992
4038,2047
4038,25626
4038,2222
4038,152699
4038,66288
4038,41689
4038,1285
4038,17397
4038,17398
4038,578
4038,11905
4038,38127
4038,6648
4038,1137209
4038,69500
4038,13473
4038,12219
4038,19292
4038,7132
32396,515
32396,36190
32396,51750
32396,158769
32396,1458116
32396,15903
32396,59258
32396,39104
32396,2313633
32396,1158
32396,1159
32396,1160
10468,1884
10468,7909
8891,139
8891,44038
8891,2963
8891,71010
8891,12516
8891,12852
8891,3800
