TIME,FLIGHT,FROM_AIRPORT,IATA,AIRLINE,AIRCRAFT,STATUS
12:27,DL1317,Salt Lake City ,SLC,Delta Air Lines,BCS1 (N126DU),Scheduled
12:29,AA2914,Dallas ,DFW,American Airlines,B738 (N309PC),Scheduled
12:38,UA732,New York ,EWR,United Airlines,B772 (N773UA),Scheduled
12:40,WN629,Chicago ,MDW,Southwest Airlines,B737 (N493WN),Scheduled
12:44,AA614,Philadelphia ,PHL,American Airlines,A321 (N989AU),Scheduled
12:46,AS3380,Las Vegas ,LAS,Alaska SkyWest,E75L (N400SY),Scheduled
12:57,DL3710,Los Angeles ,LAX,Delta Connection,E75L (N275SY),Scheduled
13:00,LH454,Frankfurt ,FRA,Lufthansa (Star Alliance Livery),A343 (D-AIFE),Scheduled
13:17,AS3305,Santa Ana ,SNA,Alaska SkyWest,E75L (N192SY),Scheduled
13:20,CI5107,Los Angeles ,LAX,China Airlines,74Y,Scheduled
13:33,FTH452,Palm Springs ,PSP,-,CJL,Scheduled
13:41,B6483,New York ,EWR,JetBlue Airways,A321 (N923JB),Scheduled
13:42,DL3581,Seattle ,SEA,Delta Connection,E75L (N274SY),Scheduled
13:45,AS3321,Seattle ,SEA,Alaska SkyWest,E75L (N170SY),Scheduled
13:47,UA1561,Denver ,DEN,United Airlines,B739 (N64809),Scheduled
13:48,UA1742,Washington ,IAD,United Airlines,B739 (N68823),Scheduled
13:53,B6577,Fort Lauderdale ,FLL,JetBlue Airways,A321 (N990JL),Scheduled
13:55,BA285,London ,LHR,British Airways,B77L,Scheduled
13:55,KE25,Seoul ,ICN,Korean Air,A333 (HL8026),Scheduled
14:00,OZ212,Seoul ,ICN,Asiana Airlines,A359,Scheduled
14:08,MU7301,Shanghai ,PVG,China Eastern Airlines,A332,Scheduled
14:09,AA670,Charlotte ,CLT,American Airlines,A321 (N583UW),Scheduled
14:14,FTH200,Burbank ,BUR,-,CN7,Scheduled
14:16,AS3343,Los Angeles ,LAX,Alaska SkyWest,E75L (N188SY),Scheduled
14:16,UA1286,Chicago ,ORD,United Airlines,B739 (N67846),Scheduled
14:20,SK935,Copenhagen ,CPH,SAS,A333,Scheduled
14:25,WN1037,Los Angeles ,LAX,Southwest Airlines,B737 (N492WN),Scheduled
14:26,AS3389,San Diego ,SAN,Alaska SkyWest,E75L (N195SY),Scheduled
